Year,BB Median Age,BB Net Worth,Silent YOY% Lagged 5 years,Forecast Net Worth,Upper,Lower
1989,34,8082459,,,,
1990,35,16684840,,,,
1991,36,18598672,,,,
1992,37,20847316,,,,
1993,38,24508959,,,,
1994,39,27126260,,,,
1995,40,31339938,,,,
1996,41,35852665,,,,
1997,42,41365522,,,,
1998,43,49091379,,,,
1999,44,57112921,,,,
2000,45,66504005,,,,
2001,46,70341123,,,,
2002,47,73801073,,,,
2003,48,80139268,,,,
2004,49,94404077,,,,
2005,50,107399751,,,,
2006,51,120034691,,,,
2007,52,129902560,,,,
2008,53,126398283,,,,
2009,54,122301114,,,,
2010,55,132752598,,,,
2011,56,139473365,,,,
2012,57,146265214,,,,
2013,58,159867575,,,,
2014,59,177899024,,,,
2015,60,190213237,,,,
2016,61,201983235,3.8%,209275465,,
2017,62,214211723,2.7%,219651986,,
2018,63,222778783,2.9%,228944440,,
2019,64,235250264,2.4%,240552851,,
2020,65,246155455,2.5%,252025201,,
2021,66,285418746,3.8%,294839703,,
2022,67,284467595,4.4%,297012184,,
2023,68,295823754,5.5%,311342699,,
2024,69,,2.4%,318855152,350740667,286969637
2025,70,,2.3%,326152593,358767852,293537334
2026,71,,-1.5%,321279223,353407146,289151301
2027,72,,-0.3%,320233817,352257199,288210435
2028,73,,2.1%,327109085,359819994,294398177
2029,74,,8.4%,354603839,390064223,319143455
2030,75,,4.3%,369685330,406653863,332716797
2031,76,,2.6%,379209602,417130562,341288642
2032,77,,-0.1%,378678996,416546896,340811097
2033,78,,-9.4%,342965056,377261561,308668550
2034,79,,-10.3%,307762275,338538503,276986048
2035,80,,-2.2%,300926504,331019154,270833853
2036,81,,-1.1%,297604927,327365420,267844434
2037,82,,-0.7%,295615104,325176615,266053594
2038,83,,1.4%,299868010,329854811,269881209
2039,84,,2.2%,306496132,337145746,275846519
2040,85,,-0.8%,304005951,334406546,273605356
2041,86,,-1.7%,298730710,328603781,268857639
2042,87,,-3.2%,289094000,318003400,260184600
2043,88,,-6.5%,270332029,297365232,243298826
2044,89,,-5.1%,256463772,282110149,230817394
2045,90,,-1.5%,252699977,277969974,227429979
2046,91,,13.9%,287770755,316547831,258993680
2047,92,,-3.0%,279127363,307040099,251214627
2048,93,,-1.7%,274426359,301868995,246983723
