Year,Median Annual Rent Cost,Median Income
1985,5184,57860
1986,5443,60010
1987,5651,60760
1988,5858,61210
1989,6117,62260
1990,6376,61500
1991,6532,59710
1992,6687,59210
1993,6843,58920
1994,6998,59550
1995,7206,61440
1996,7413,62350
1997,7620,63640
1998,7880,65980
1999,8139,67650
2000,8450,67470
2001,8865,66360
2002,9124,65820
2003,9383,65860
2004,9642,65760
2005,9953,66780
2006,10368,67520
2007,10783,68610
2008,11146,66280
2009,11197,65850
2010,11560,64300
2011,11923,63350
2012,12182,63350
2013,12390,65740
2014,12597,64900
2015,12753,68410
2016,13012,70840
2017,13478,72090
2018,14049,73030
2019,14567,78250
2020,15034,76660
2021,15967,76330
